locus_tag,ftype,length_bp,gene,EC_number,COG,product
GMHGOCAD_05130,CDS,639,rhtB_3,,COG1280,Homoserine/homoserine lactone efflux protein
GMHGOCAD_05133,CDS,270,rpmE2,,COG0254,50S ribosomal protein L31 type B
GMHGOCAD_05137,CDS,843,catD_4,3.1.1.24,COG0596,3-oxoadipate enol-lactonase 2
GMHGOCAD_05140,CDS,1419,proY_4,,COG1113,Proline-specific permease ProY
GMHGOCAD_05143,CDS,786,yqjH,1.16.1.9,COG2375,NADPH-dependent ferric-chelate reductase
GMHGOCAD_05148,CDS,1389,hisC_8,2.6.1.9,,Histidinol-phosphate aminotransferase
GMHGOCAD_05149,CDS,1203,ydcO_3,,COG3135,Inner membrane protein YdcO
GMHGOCAD_05150,CDS,1356,oprB_3,,COG3659,Porin B
GMHGOCAD_05151,CDS,2421,gcd,1.1.5.2,COG4993,Quinoprotein glucose dehydrogenase
GMHGOCAD_05155,CDS,1659,rpfC,2.7.13.3,COG0642,Sensory/regulatory protein RpfC
GMHGOCAD_05156,CDS,618,narL_2,,COG2197,putative transcriptional regulatory protein NarL
GMHGOCAD_05159,CDS,2421,lon_2,3.4.21.53,,Lon protease
GMHGOCAD_05162,CDS,783,cmoA,2.1.3.-,COG0500,Carboxy-S-adenosyl-L-methionine synthase
GMHGOCAD_05163,CDS,957,cmoB,2.5.1.-,COG0500,tRNA U34 carboxymethyltransferase
GMHGOCAD_05164,CDS,495,tadA,3.5.4.33,COG0590,tRNA-specific adenosine deaminase
GMHGOCAD_05165,CDS,1383,mco,1.-.-.-,,Multicopper oxidase mco
GMHGOCAD_05168,CDS,1224,lamB,,COG4580,Maltoporin
GMHGOCAD_05169,CDS,1650,treA,3.2.1.93,COG0366,Trehalose-6-phosphate hydrolase
GMHGOCAD_05170,CDS,1443,treP,,COG1263,PTS system trehalose-specific EIIBC component
GMHGOCAD_05171,CDS,705,treR,,COG2188,HTH-type transcriptional regulator TreR
GMHGOCAD_05180,CDS,897,catM_2,,,HTH-type transcriptional regulator CatM
GMHGOCAD_05185,CDS,792,yafV,3.5.1.3,,Omega-amidase YafV
GMHGOCAD_05186,CDS,1149,ybdL,2.6.1.88,COG0436,Methionine aminotransferase
GMHGOCAD_05187,CDS,1473,der_1,,COG1160,GTPase Der
GMHGOCAD_05188,CDS,1206,bamB,,COG1520,Outer membrane protein assembly factor BamB
GMHGOCAD_05192,CDS,1026,rodZ,,COG1426,Cytoskeleton protein RodZ
GMHGOCAD_05196,CDS,201,iscX,,COG2975,Protein IscX
GMHGOCAD_05197,CDS,342,fdx_1,,COG0633,2Fe-2S ferredoxin
GMHGOCAD_05198,CDS,1863,hscA,,COG0443,Chaperone protein HscA
GMHGOCAD_05199,CDS,522,hscB,,COG1076,Co-chaperone protein HscB
GMHGOCAD_05200,CDS,324,iscA,,COG0316,Iron-binding protein IscA
GMHGOCAD_05201,CDS,387,iscU,,COG0822,Iron-sulfur cluster assembly scaffold protein IscU
GMHGOCAD_05203,CDS,492,iscR,,COG1959,HTH-type transcriptional regulator IscR
GMHGOCAD_05204,CDS,777,cysE_1,2.3.1.30,COG1045,Serine acetyltransferase
GMHGOCAD_05205,CDS,771,trmJ,2.1.1.-,,tRNA (cytidine/uridine/adenosine-2'-O-)-methyltransferase TrmJ
GMHGOCAD_05206,CDS,819,suhB,3.1.3.25,COG0483,Inositol-1-monophosphatase
GMHGOCAD_05211,CDS,1134,tgt,2.4.2.29,COG0343,Queuine tRNA-ribosyltransferase
GMHGOCAD_05212,CDS,1065,queA,2.4.99.17,COG0809,S-adenosylmethionine:tRNA ribosyltransferase-isomerase
GMHGOCAD_05214,CDS,639,yfcG_6,1.8.4.-,COG0625,Disulfide-bond oxidoreductase YfcG
GMHGOCAD_05217,CDS,2670,aceE_2,1.2.4.1,COG2609,Pyruvate dehydrogenase E1 component
GMHGOCAD_05218,CDS,1071,ppk2,2.7.4.1,COG2326,Polyphosphate:ADP/GDP phosphotransferase
GMHGOCAD_05220,CDS,1335,sasA_16,2.7.-.-,,Adaptive-response sensory-kinase SasA
GMHGOCAD_05221,CDS,699,ompR_5,,,Transcriptional regulatory protein OmpR
GMHGOCAD_05224,CDS,960,gcvA_14,,,Glycine cleavage system transcriptional activator
GMHGOCAD_05231,CDS,666,glpE_2,2.8.1.1,,Thiosulfate sulfurtransferase GlpE
GMHGOCAD_05233,CDS,399,vapC,3.1.-.-,COG1487,tRNA(fMet)-specific endonuclease VapC
GMHGOCAD_05234,CDS,234,vapB,,COG4456,Antitoxin VapB
GMHGOCAD_05235,CDS,582,yohD,,COG0586,Inner membrane protein YohD
GMHGOCAD_05236,CDS,1248,davT_2,2.6.1.48,COG0160,5-aminovalerate aminotransferase DavT
GMHGOCAD_05242,CDS,699,msrA_2,1.8.4.11,,Peptide methionine sulfoxide reductase MsrA
GMHGOCAD_05243,CDS,1779,dipZ,,COG0785,Protein DipZ
GMHGOCAD_05244,CDS,519,msrB_2,1.8.4.12,,Peptide methionine sulfoxide reductase MsrB
GMHGOCAD_05245,CDS,714,phoP_3,,COG0745,Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
GMHGOCAD_05246,CDS,1509,sasA_17,2.7.-.-,,Adaptive-response sensory-kinase SasA
GMHGOCAD_05249,CDS,1608,aruI_3,4.1.1.75,COG0028,putative 2-ketoarginine decarboxylase AruI
GMHGOCAD_05250,CDS,921,gcvA_15,,,Glycine cleavage system transcriptional activator
GMHGOCAD_05251,CDS,795,occP_2,,,Octopine permease ATP-binding protein P
GMHGOCAD_05252,CDS,774,hisJ,,COG0834,Histidine-binding periplasmic protein
GMHGOCAD_05253,CDS,714,occQ,,,Octopine transport system permease protein OccQ
GMHGOCAD_05254,CDS,705,occM_4,,,Octopine transport system permease protein OccM
GMHGOCAD_05255,CDS,1182,aruH_3,2.6.1.84,COG0436,Arginine--pyruvate transaminase AruH
GMHGOCAD_05256,CDS,1749,nfdA_4,3.5.1.91,,N-substituted formamide deformylase
GMHGOCAD_05257,CDS,927,yciC_2,,COG0523,Putative metal chaperone YciC
GMHGOCAD_05260,CDS,1122,egtE,4.4.-.-,,hercynylcysteine sulfoxide lyase
GMHGOCAD_05261,CDS,1209,mdtG,,,Multidrug resistance protein MdtG
GMHGOCAD_05262,CDS,1248,ddaF_5,6.3.2.47,,Dapdiamide A synthase
GMHGOCAD_05263,CDS,972,fadM,1.5.5.2,,Proline dehydrogenase 1
GMHGOCAD_05266,CDS,888,cyoE,2.5.1.141,COG0109,Protoheme IX farnesyltransferase
GMHGOCAD_05267,CDS,330,cyoD_2,,COG3125,Cytochrome bo(3) ubiquinol oxidase subunit 4
GMHGOCAD_05268,CDS,627,cyoC_2,,COG1845,Cytochrome bo(3) ubiquinol oxidase subunit 3
GMHGOCAD_05269,CDS,2019,cyoB_2,7.1.1.3,COG0843,Cytochrome bo(3) ubiquinol oxidase subunit 1
GMHGOCAD_05270,CDS,945,cyoA_2,,COG1622,Cytochrome bo(3) ubiquinol oxidase subunit 2
GMHGOCAD_05271,CDS,510,dsbB_1,,COG1495,Disulfide bond formation protein B
GMHGOCAD_05272,CDS,1182,hmp_1,1.14.12.17,COG1017,Flavohemoprotein
GMHGOCAD_05273,CDS,1557,norR1,,,Nitric oxide reductase transcription regulator NorR1
GMHGOCAD_05274,CDS,903,cheV_3,,COG0784,Chemotaxis protein CheV
GMHGOCAD_05279,CDS,1161,mdtA_8,,,Multidrug resistance protein MdtA
GMHGOCAD_05280,CDS,3096,mdtB_3,,,Multidrug resistance protein MdtB
GMHGOCAD_05281,CDS,678,czcR_4,,,Transcriptional activator protein CzcR
GMHGOCAD_05282,CDS,1365,sasA_18,2.7.-.-,,Adaptive-response sensory-kinase SasA
GMHGOCAD_05284,CDS,1332,oprD_6,3.4.21.-,,Porin D
GMHGOCAD_05286,CDS,912,lpxC,3.5.1.108,COG0774,UDP-3-O-acyl-N-acetylglucosamine deacetylase
GMHGOCAD_05288,CDS,1260,ftsA,,COG0849,Cell division protein FtsA
GMHGOCAD_05292,CDS,1071,murG_2,2.4.1.227,COG0707,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
GMHGOCAD_05293,CDS,1218,ftsW,2.4.1.129,COG0772,putative peptidoglycan glycosyltransferase FtsW
GMHGOCAD_05298,CDS,1737,ftsI,3.4.16.4,COG0768,"Peptidoglycan D,D-transpeptidase FtsI"
GMHGOCAD_05299,CDS,249,ftsL,,COG3116,Cell division protein FtsL
GMHGOCAD_05302,CDS,855,rsmI,2.1.1.198,COG0313,Ribosomal RNA small subunit methyltransferase I
GMHGOCAD_05303,CDS,1812,lpoA,,COG3107,Penicillin-binding protein activator LpoA
GMHGOCAD_05307,CDS,411,sspB,,COG2969,Stringent starvation protein B
GMHGOCAD_05308,CDS,618,sspA,,COG0625,Stringent starvation protein A
GMHGOCAD_05310,CDS,1212,petB,,COG1290,Cytochrome b
GMHGOCAD_05311,CDS,594,petA,7.1.1.8,COG0723,Ubiquinol-cytochrome c reductase iron-sulfur subunit
GMHGOCAD_05314,CDS,1041,tas,,COG0667,Protein tas
GMHGOCAD_05315,CDS,1137,mmgC_6,1.3.99.-,COG1960,Acyl-CoA dehydrogenase
GMHGOCAD_05316,CDS,999,cdhR_7,,COG4977,HTH-type transcriptional regulator CdhR
GMHGOCAD_05317,CDS,1020,zapE_3,,COG1485,Cell division protein ZapE
GMHGOCAD_05321,CDS,762,yiaD,,COG2885,putative lipoprotein YiaD
GMHGOCAD_05322,CDS,645,gloC,3.1.2.6,COG0491,Hydroxyacylglutathione hydrolase GloC
GMHGOCAD_05323,CDS,501,ogt,2.1.1.63,COG0350,Methylated-DNA--protein-cysteine methyltransferase
GMHGOCAD_05326,CDS,675,czcR_5,,,Transcriptional activator protein CzcR
GMHGOCAD_05329,CDS,2736,malT_4,,COG2909,HTH-type transcriptional regulator MalT
GMHGOCAD_05335,CDS,774,nimR_10,,,HTH-type transcriptional regulator NimR
GMHGOCAD_05336,CDS,630,rhtC_4,,COG1280,Threonine efflux protein
GMHGOCAD_05337,CDS,966,hprA,1.1.1.29,COG1052,Glycerate dehydrogenase
GMHGOCAD_05340,CDS,819,bepA_4,3.4.-.-,,Beta-barrel assembly-enhancing protease
GMHGOCAD_05341,CDS,2142,mcpU_3,,COG0840,Methyl-accepting chemotaxis protein McpU
GMHGOCAD_05342,CDS,621,yedK_2,3.4.-.-,COG2135,SOS response-associated protein YedK
GMHGOCAD_05350,CDS,1512,mqo_2,1.1.5.4,COG0579,Malate:quinone oxidoreductase
GMHGOCAD_05354,CDS,558,hpt,2.4.2.8,,Hypoxanthine-guanine phosphoribosyltransferase
GMHGOCAD_05355,CDS,639,upp,2.4.2.9,COG0035,Uracil phosphoribosyltransferase
GMHGOCAD_05356,CDS,1275,uraA,,COG2233,Uracil permease
GMHGOCAD_05365,CDS,771,hcaB_9,1.3.1.87,,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
GMHGOCAD_05371,CDS,519,pagL_2,3.1.1.77,,Lipid A deacylase PagL
GMHGOCAD_05373,CDS,765,moeB,2.7.7.80,COG0476,Molybdopterin-synthase adenylyltransferase
GMHGOCAD_05376,CDS,1275,hemA,1.2.1.70,COG0373,Glutamyl-tRNA reductase
GMHGOCAD_05377,CDS,1725,bepA_5,3.4.-.-,,Beta-barrel assembly-enhancing protease
GMHGOCAD_05378,CDS,618,lolB,,COG3017,Outer-membrane lipoprotein LolB
GMHGOCAD_05379,CDS,852,ispE,2.7.1.148,COG1947,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase
GMHGOCAD_05381,CDS,933,prs,2.7.6.1,COG0462,Ribose-phosphate pyrophosphokinase
GMHGOCAD_05382,CDS,600,rplY,,,50S ribosomal protein L25
GMHGOCAD_05383,CDS,585,pth,3.1.1.29,COG0193,Peptidyl-tRNA hydrolase
GMHGOCAD_05388,CDS,1323,oprP,,COG3746,Porin P
GMHGOCAD_05389,CDS,2055,pfeA_2,,COG4771,Ferric enterobactin receptor
GMHGOCAD_05390,CDS,1188,pobA,1.14.13.2,COG0654,p-hydroxybenzoate hydroxylase
GMHGOCAD_05391,CDS,894,rhaS_12,,,HTH-type transcriptional activator RhaS
GMHGOCAD_05392,CDS,1218,fsr,,,Fosmidomycin resistance protein
GMHGOCAD_05395,CDS,1161,hipO_6,3.5.1.32,COG1473,Hippurate hydrolase
GMHGOCAD_05396,CDS,1518,gbsA_3,1.2.1.8,COG1012,Betaine aldehyde dehydrogenase
GMHGOCAD_05397,CDS,891,Hgd,1.1.1.291,,2-(hydroxymethyl)glutarate dehydrogenase
GMHGOCAD_05399,CDS,762,cysE_2,2.3.1.30,COG1045,Serine acetyltransferase
GMHGOCAD_05400,CDS,906,cynR_7,,,HTH-type transcriptional regulator CynR
GMHGOCAD_05401,CDS,1383,proY_5,,COG1113,Proline-specific permease ProY
GMHGOCAD_05402,CDS,567,rimJ,2.3.1.267,COG1670,[Ribosomal protein S5]-alanine N-acetyltransferase
GMHGOCAD_05403,CDS,993,ccp_2,1.11.1.5,COG1858,Cytochrome c551 peroxidase
GMHGOCAD_05404,CDS,1836,ggt_2,3.4.19.13,COG0405,Glutathione hydrolase proenzyme
GMHGOCAD_05409,CDS,726,yfiH_1,1.10.3.-,COG1496,Polyphenol oxidase
GMHGOCAD_05412,CDS,1095,ddlA,6.3.2.4,COG1181,D-alanine--D-alanine ligase A
GMHGOCAD_05418,CDS,2235,cph1,2.7.13.3,,Phytochrome-like protein cph1
GMHGOCAD_05419,CDS,900,gcvA_16,,,Glycine cleavage system transcriptional activator
GMHGOCAD_05420,CDS,930,ytfF_2,,,Inner membrane protein YtfF
GMHGOCAD_05421,CDS,1407,efpA,,,putative MFS-type transporter EfpA
GMHGOCAD_05422,CDS,885,pgrR_5,,,HTH-type transcriptional regulator PgrR
GMHGOCAD_05423,CDS,495,ybaK_2,4.2.-.-,COG2606,Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK
GMHGOCAD_05424,CDS,606,flr,,,Flavoredoxin
GMHGOCAD_05425,CDS,774,fabG_11,1.1.1.100,,3-oxoacyl-[acyl-carrier-protein] reductase FabG
GMHGOCAD_05426,CDS,906,dmlR_23,,,HTH-type transcriptional regulator DmlR
GMHGOCAD_05428,CDS,1317,bdlA_3,,COG0840,Biofilm dispersion protein BdlA
GMHGOCAD_05431,CDS,1329,oprD_7,3.4.21.-,,Porin D
GMHGOCAD_05435,CDS,3135,czcA_3,,,Cobalt-zinc-cadmium resistance protein CzcA
GMHGOCAD_05436,CDS,1230,czcB,,,Cobalt-zinc-cadmium resistance protein CzcB
GMHGOCAD_05437,CDS,1269,czcC,,,Cobalt-zinc-cadmium resistance protein CzcC
GMHGOCAD_05438,CDS,675,czcR_6,,,Transcriptional activator protein CzcR
GMHGOCAD_05439,CDS,897,czcD_2,,,Metal cation efflux system protein CzcD
GMHGOCAD_05441,CDS,1320,abaF_5,,,Fosfomycin resistance protein AbaF
GMHGOCAD_05443,CDS,1419,atoE,,COG2031,Putative short-chain fatty acid transporter
GMHGOCAD_05445,CDS,1698,hscC,,COG0443,Chaperone protein HscC
GMHGOCAD_05448,CDS,645,can,4.2.1.1,COG0288,Carbonic anhydrase 2
GMHGOCAD_05450,CDS,453,rimI,2.3.1.266,COG0456,[Ribosomal protein S18]-alanine N-acetyltransferase
GMHGOCAD_05455,CDS,2331,yebT_4,,COG3008,Intermembrane transport protein YebT
GMHGOCAD_05456,CDS,624,pqiA_4,,COG2995,Intermembrane transport protein PqiA
GMHGOCAD_05463,CDS,621,msrQ,,,Protein-methionine-sulfoxide reductase heme-binding subunit MsrQ
GMHGOCAD_05464,CDS,1014,msrP,1.8.5.-,COG2041,Protein-methionine-sulfoxide reductase catalytic subunit MsrP
GMHGOCAD_05468,CDS,1725,ilvI,2.2.1.6,COG0028,Acetolactate synthase isozyme 3 large subunit
GMHGOCAD_05471,CDS,2325,mrcB,,COG0744,Penicillin-binding protein 1B
GMHGOCAD_05477,CDS,768,hmuV,3.6.3.-,COG4559,Hemin import ATP-binding protein HmuV
GMHGOCAD_05478,CDS,1038,hmuU_2,,COG0609,Hemin transport system permease protein HmuU
GMHGOCAD_05479,CDS,876,hmuT,,COG4558,Hemin-binding periplasmic protein HmuT
GMHGOCAD_05481,CDS,708,sfsA,,COG1489,Sugar fermentation stimulation protein A
GMHGOCAD_05482,CDS,1173,aspC_2,2.6.1.1,COG0436,Aspartate aminotransferase
GMHGOCAD_05483,CDS,441,dksA_2,,COG1734,RNA polymerase-binding transcription factor DksA
GMHGOCAD_05484,CDS,888,gluQ,6.1.1.-,COG0008,Glutamyl-Q tRNA(Asp) synthetase
GMHGOCAD_05487,CDS,1422,zraR_2,,COG2204,Transcriptional regulatory protein ZraR
GMHGOCAD_05488,CDS,1389,pcnB,2.7.7.19,COG0617,Poly(A) polymerase I
GMHGOCAD_05489,CDS,480,folK,2.7.6.3,COG0801,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
GMHGOCAD_05491,CDS,861,panC,6.3.2.1,COG0414,Pantothenate synthetase
GMHGOCAD_05493,CDS,1938,acsA_3,6.2.1.1,COG0365,Acetyl-coenzyme A synthetase
GMHGOCAD_05495,CDS,1017,rlmI_1,2.1.1.191,COG1092,Ribosomal RNA large subunit methyltransferase I
GMHGOCAD_05498,CDS,417,pilE,,,Fimbrial protein
GMHGOCAD_05499,CDS,1218,epsF_3,,COG1459,Type II secretion system protein F
GMHGOCAD_05500,CDS,873,outO,,,Type 4 prepilin-like proteins leader peptide-processing enzyme
GMHGOCAD_05501,CDS,624,coaE_2,2.7.1.24,COG0237,Dephospho-CoA kinase
GMHGOCAD_05502,CDS,204,yacG,,COG3024,DNA gyrase inhibitor YacG
GMHGOCAD_05508,CDS,1299,ndh,1.6.99.3,COG1252,NADH dehydrogenase
GMHGOCAD_05509,CDS,555,bvgA_4,,,Virulence factors putative positive transcription regulator BvgA
GMHGOCAD_05510,CDS,1176,rssB_5,,,Regulator of RpoS
GMHGOCAD_05511,CDS,3582,bvgS_3,2.7.13.3,,Virulence sensor protein BvgS
GMHGOCAD_05517,CDS,726,yfiH_2,1.10.3.-,COG1496,Polyphenol oxidase
GMHGOCAD_05518,CDS,1062,rluD,5.4.99.23,COG0564,Ribosomal large subunit pseudouridine synthase D
GMHGOCAD_05519,CDS,1023,bamD,,,Outer membrane protein assembly factor BamD
GMHGOCAD_05520,CDS,996,atoC_3,,COG2204,Regulatory protein AtoC
GMHGOCAD_05521,CDS,1098,thiO_2,1.4.3.19,,Glycine oxidase
GMHGOCAD_05527,CDS,948,ispH,1.17.7.4,COG0761,4-hydroxy-3-methylbut-2-enyl diphosphate reductase
GMHGOCAD_05528,CDS,453,fkpB,5.2.1.8,COG1047,FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase
GMHGOCAD_05532,CDS,1539,murJ_2,,COG0728,putative lipid II flippase MurJ
GMHGOCAD_05539,CDS,969,ispB,2.5.1.90,COG0142,Octaprenyl diphosphate synthase
GMHGOCAD_05542,CDS,618,fklB_2,5.2.1.8,COG0545,FKBP-type 22 kDa peptidyl-prolyl cis-trans isomerase
GMHGOCAD_05551,CDS,498,greB_2,,,Transcription elongation factor GreB
GMHGOCAD_05552,CDS,1338,gdhA,1.4.1.4,COG0334,NADP-specific glutamate dehydrogenase
GMHGOCAD_05553,CDS,1665,ettA,,COG0488,Energy-dependent translational throttle protein EttA
GMHGOCAD_05554,CDS,1197,ydcO_4,,COG3135,Inner membrane protein YdcO
GMHGOCAD_05555,CDS,672,rspR_2,,COG1802,HTH-type transcriptional repressor RspR
GMHGOCAD_05556,CDS,993,mppJ,2.1.1.281,,Phenylpyruvate C(3)-methyltransferase
GMHGOCAD_05560,CDS,1779,CmaA,6.2.1.46,,L-allo-isoleucine:holo-[CmaA peptidyl-carrier protein] ligase
GMHGOCAD_05563,CDS,765,lgrE_3,1.1.-.-,,Linear gramicidin dehydrogenase LgrE
GMHGOCAD_05564,CDS,639,alaS_2,6.1.1.7,COG0013,Alanine--tRNA ligase
GMHGOCAD_05567,CDS,1254,glyA_2,2.1.2.1,COG0112,Serine hydroxymethyltransferase
GMHGOCAD_05568,CDS,1314,dctA_2,,COG1301,Aerobic C4-dicarboxylate transport protein
GMHGOCAD_05569,CDS,699,lutR_2,,COG2186,HTH-type transcriptional regulator LutR
GMHGOCAD_05571,CDS,972,yjiA_2,3.6.-.-,COG0523,P-loop guanosine triphosphatase YjiA
GMHGOCAD_05573,CDS,2067,btsT,,COG1966,Pyruvate/proton symporter BtsT
GMHGOCAD_05576,CDS,1368,radA,3.6.4.-,COG1066,DNA repair protein RadA
GMHGOCAD_05578,CDS,1542,katB,1.11.1.6,COG0753,Catalase
GMHGOCAD_05579,CDS,411,mscL,,COG1970,Large-conductance mechanosensitive channel
GMHGOCAD_05580,CDS,777,fpr_2,1.18.1.2,COG1018,Ferredoxin--NADP reductase
GMHGOCAD_05583,CDS,1008,cydB,7.1.1.7,COG1294,Cytochrome bd-I ubiquinol oxidase subunit 2
GMHGOCAD_05584,CDS,1431,cydA,1.10.3.-,COG1271,Cytochrome bd ubiquinol oxidase subunit 1
GMHGOCAD_05585,CDS,1245,entS,,COG0477,Enterobactin exporter EntS
GMHGOCAD_05587,CDS,1293,adeQ,,COG2252,Adenine permease AdeQ
GMHGOCAD_05588,CDS,1080,trmA,2.1.1.-,COG2265,tRNA/tmRNA (uracil-C(5))-methyltransferase
GMHGOCAD_05589,CDS,1338,tolC_6,,COG1538,Outer membrane protein TolC
GMHGOCAD_05590,CDS,1350,prsE_3,,,Type I secretion system membrane fusion protein PrsE
GMHGOCAD_05591,CDS,1782,prsD_2,,,Type I secretion system ATP-binding protein PrsD
GMHGOCAD_05592,CDS,615,hasA,,,Hemophore HasA
GMHGOCAD_05593,CDS,2706,tdhA_2,,COG1629,TonB-dependent heme receptor A
GMHGOCAD_05595,CDS,540,fecI_11,,COG1595,putative RNA polymerase sigma factor FecI
GMHGOCAD_05597,CDS,678,nicS,,,HTH-type transcriptional repressor NicS
GMHGOCAD_05598,CDS,606,pcaG,1.13.11.3,COG3485,"Protocatechuate 3,4-dioxygenase alpha chain"
GMHGOCAD_05599,CDS,717,pcaH,1.13.11.3,COG3485,"Protocatechuate 3,4-dioxygenase beta chain"
GMHGOCAD_05600,CDS,1041,hdfR_11,,,HTH-type transcriptional regulator HdfR
GMHGOCAD_05603,CDS,594,mupP_2,3.1.3.105,COG0546,N-acetylmuramic acid 6-phosphate phosphatase
GMHGOCAD_05607,CDS,1248,baiN,1.3.1.114,COG2081,"3-dehydro-bile acid delta(4,6)-reductase"
GMHGOCAD_05611,CDS,909,yedA_3,,,putative inner membrane transporter YedA
GMHGOCAD_05612,CDS,462,lrpC_2,,COG1522,HTH-type transcriptional regulator LrpC
GMHGOCAD_05613,CDS,606,polC_1,2.7.7.7,COG2176,DNA polymerase III PolC-type
GMHGOCAD_05619,CDS,1041,oxd,4.99.1.7,,Phenylacetaldoxime dehydratase
GMHGOCAD_05621,CDS,972,nphR_3,,,Transcriptional activator NphR
GMHGOCAD_05623,CDS,1125,gatA_2,6.3.5.7,COG0154,Glutamyl-tRNA(Gln) amidotransferase subunit A
GMHGOCAD_05625,CDS,498,rutF,1.5.1.42,COG1853,FMN reductase (NADH) RutF
GMHGOCAD_05626,CDS,960,yeaX,1.14.13.239,COG1018,Carnitine monooxygenase reductase subunit
GMHGOCAD_05627,CDS,741,fabG_12,1.1.1.100,,3-oxoacyl-[acyl-carrier-protein] reductase FabG
GMHGOCAD_05628,CDS,477,cmtAc,,,"p-cumate 2,3-dioxygenase system, small oxygenase component"
GMHGOCAD_05629,CDS,1275,antA_2,1.14.12.1,COG4638,"Anthranilate 1,2-dioxygenase large subunit"
GMHGOCAD_05631,CDS,1170,hsaA,1.14.14.12,,"Flavin-dependent monooxygenase, oxygenase subunit HsaA"
GMHGOCAD_05636,CDS,480,lrp_4,,COG1522,Leucine-responsive regulatory protein
GMHGOCAD_05638,CDS,639,rluE,5.4.99.20,COG1187,Ribosomal large subunit pseudouridine synthase E
GMHGOCAD_05639,CDS,1497,amn,3.2.2.4,COG0775,AMP nucleosidase
GMHGOCAD_05641,CDS,2367,rcsC_20,2.7.13.3,,Sensor histidine kinase RcsC
GMHGOCAD_05643,CDS,624,thiE_2,2.5.1.3,COG0352,Thiamine-phosphate synthase
GMHGOCAD_05644,CDS,1284,hemL,5.4.3.8,COG0001,"Glutamate-1-semialdehyde 2,1-aminomutase"
GMHGOCAD_05648,CDS,1020,ybeZ,,COG1702,PhoH-like protein
GMHGOCAD_05650,CDS,840,corC,,COG4535,Magnesium and cobalt efflux protein CorC
GMHGOCAD_05651,CDS,1536,lnt,2.3.1.269,COG0815,Apolipoprotein N-acyltransferase
GMHGOCAD_05655,CDS,606,lptE,,,LPS-assembly lipoprotein LptE
GMHGOCAD_05656,CDS,1038,holA,2.7.7.7,COG1466,DNA polymerase III subunit delta
GMHGOCAD_05659,CDS,948,ykfA,3.4.16.-,COG1619,putative murein peptide carboxypeptidase
GMHGOCAD_05663,CDS,1158,dacC,3.4.16.4,COG1686,D-alanyl-D-alanine carboxypeptidase DacC
GMHGOCAD_05664,CDS,1002,rlpA_2,4.2.2.-,,Endolytic peptidoglycan transglycosylase RlpA
GMHGOCAD_05665,CDS,1011,mltB,4.2.2.-,COG2951,Membrane-bound lytic murein transglycosylase B
GMHGOCAD_05666,CDS,1146,mrdB,2.4.1.129,COG0772,Peptidoglycan glycosyltransferase MrdB
GMHGOCAD_05668,CDS,468,rlmH,2.1.1.177,COG1576,Ribosomal RNA large subunit methyltransferase H
GMHGOCAD_05670,CDS,645,nadD_2,2.7.7.18,COG1057,putative nicotinate-nucleotide adenylyltransferase
GMHGOCAD_05675,CDS,717,yohK_2,,COG1346,Inner membrane protein YohK
GMHGOCAD_05676,CDS,363,cidA_2,,,Holin-like protein CidA
GMHGOCAD_05681,CDS,633,ubiX,2.5.1.129,COG0163,Flavin prenyltransferase UbiX
GMHGOCAD_05682,CDS,1350,mpl,6.3.2.45,COG0773,"UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase"
GMHGOCAD_05683,CDS,1923,acoR_2,,COG3284,Acetoin catabolism regulatory protein
GMHGOCAD_05684,CDS,1521,adh_4,1.2.1.3,COG1012,Aldehyde dehydrogenase
GMHGOCAD_05687,CDS,2196,eutC_1,4.3.1.7,,Ethanolamine ammonia-lyase light chain
GMHGOCAD_05688,CDS,1395,eutB,4.3.1.7,COG4303,Ethanolamine ammonia-lyase heavy chain
GMHGOCAD_05689,CDS,825,eutC_2,4.3.1.7,COG4302,Ethanolamine ammonia-lyase light chain
GMHGOCAD_05691,CDS,657,dedA,,COG0586,Protein DedA
GMHGOCAD_05692,CDS,813,mtfA,,COG3228,Protein MtfA
GMHGOCAD_05693,CDS,528,ppa,3.6.1.1,COG0221,Inorganic pyrophosphatase
GMHGOCAD_05705,CDS,888,ispA,2.5.1.10,COG0142,Farnesyl diphosphate synthase
GMHGOCAD_05706,CDS,1902,dxs_2,2.2.1.7,COG1154,1-deoxy-D-xylulose-5-phosphate synthase
GMHGOCAD_05707,CDS,1893,btuB_8,,COG4206,Vitamin B12 transporter BtuB
GMHGOCAD_05708,CDS,798,btuF_2,,COG0614,Vitamin B12-binding protein
GMHGOCAD_05712,CDS,504,pgpA,3.1.3.27,COG1267,Phosphatidylglycerophosphatase A
GMHGOCAD_05713,CDS,966,thiL,2.7.4.16,COG0611,Thiamine-monophosphate kinase
GMHGOCAD_05715,CDS,477,ribH_2,2.5.1.78,,"6,7-dimethyl-8-ribityllumazine synthase"
